distretto,nome,serie,ripetizioni,difficoltà,descrizione,link_video
collo,Stretch laterale collo,3,10,Facile,Inclina lentamente la testa verso la spalla destra e sinistra,https://youtu.be/esempio1
collo,Rotazioni cervicali,3,5,Facile,Ruota lentamente il collo in cerchio 5 volte per lato,https://youtu.be/esempio2
spalla,Elevazioni laterali braccia,3,12,Medio,Solleva le braccia lateralmente fino all'altezza delle spalle,https://youtu.be/esempio3
spalla,Rotazioni spalla,3,10,Facile,Ruota le spalle avanti e indietro per 10 ripetizioni,https://youtu.be/esempio4
gomito,Estensione gomito,3,12,Facile,Piega ed estendi lentamente il gomito con un manubrio leggero,https://youtu.be/esempio5
polso,Flessione ed estensione polso,3,15,Facile,Piega e stendi il polso in modo controllato,https://youtu.be/esempio6
mano,Apertura dita,3,20,Facile,Apri e chiudi le dita più volte in modo fluido,https://youtu.be/esempio7
core,Plank,3,30,Medio,Mantieni la posizione di plank per 20-30 secondi,https://youtu.be/esempio8
core,Crunch,3,15,Facile,Contrai l'addome e solleva le spalle da terra,https://youtu.be/esempio9
anca,Ponte glutei,3,12,Facile,Solleva il bacino mantenendo i piedi a terra,https://youtu.be/esempio10
ginocchio,Squat corpo libero,3,10,Medio,Mantieni le ginocchia allineate con le punte dei piedi,https://youtu.be/giJ_6HFAPl0?si=5tbmiDHR5GgHampg
ginocchio,Affondi,3,10,Medio,Avanza con una gamba e piega entrambe le ginocchia,https://youtu.be/esempio11
caviglia,Circonduzioni caviglia,3,15,Facile,Ruota la caviglia in senso orario e antiorario,https://youtu.be/esempio12
neurodinamica,Slump test,3,8,Difficile,Da seduto fletti la testa in avanti ed estendi una gamba,https://youtu.be/esempio13
